Gene.symbol	logFC	adj.P.Val
	-4.27e-01	0.012179
Mmp10	4.80e-01	0.012179
Ddx17	-4.00e-01	0.012179
AU019796	4.00e-01	0.012179
A230055J12Rik	-4.00e-01	0.012179
Mastl	-4.13e-01	0.012185
Hoxa10	-4.03e-01	0.012187
Cdc14b	-5.17e-01	0.012188
Vcpip1	-5.20e-01	0.012193
Tbl2	-6.03e-01	0.012199
Kcnq3	-3.53e-01	0.012203
Gm10044	-7.20e-01	0.012205
Vav1	4.63e-01	0.012205
Arf3	-4.27e-01	0.012212
Serpina7	-3.67e-01	0.012213
Myo16	-4.73e-01	0.012213
Acox3	-5.43e-01	0.012213
Lasp1	-5.47e-01	0.012213
	-3.70e-01	0.012221
Rab3d	-4.43e-01	0.012221
Ints7	-4.90e-01	0.012223
Cdc25a	-3.93e-01	0.012229
Tbc1d10b	-3.93e-01	0.012229
Syncrip	-6.20e-01	0.012232
Sertad1	-4.37e-01	0.012232
Jrk	-4.47e-01	0.012235
Dohh	-3.83e-01	0.012239
Ddr1	-3.93e-01	0.012241
Cpa1	-7.00e-01	0.012244
C030011I16Rik	-4.07e-01	0.012248
Gemin8	-4.43e-01	0.012251
5930403N24Rik	-3.87e-01	0.012251
Slc35b4	-4.30e-01	0.012251
Adam1b	-3.73e-01	0.012251
Nvl	-3.67e-01	0.012253
Slc1a1	-5.23e-01	0.012268
Obox5	-4.67e-01	0.012275
	-4.70e-01	0.012275
Trim36	-4.27e-01	0.012275
Bcl11a	-3.43e-01	0.012275
Sympk	-5.30e-01	0.012276
	-4.57e-01	0.012276
C030039L03Rik	-3.87e-01	0.012276
Cdc37	-3.83e-01	0.012276
	-5.07e-01	0.012277
Spats2l	-4.23e-01	0.01228
Strbp	-4.07e-01	0.01228
Sirt6	-4.57e-01	0.012283
Trnau1ap	-4.17e-01	0.012285
1700013D24Rik	4.00e-01	0.012285
Zkscan1	-7.13e-01	0.012285
Abcb7	-4.70e-01	0.012287
Ppp1r2	-4.10e-01	0.012287
	-4.87e-01	0.012298
Nup62	-4.10e-01	0.012301
Igsf23	-4.47e-01	0.012312
BC006965	-5.70e-01	0.012316
Nsd1	-3.87e-01	0.012316
Dppa2	-4.87e-01	0.012316
Them6	-5.17e-01	0.012316
Camk2n1	-6.37e-01	0.012318
Tm4sf5	-4.63e-01	0.012318
Cyp7a1	-4.17e-01	0.012318
Cnn3	-3.43e-01	0.012319
2900034C19Rik	-4.73e-01	0.012319
Rbm14	-3.90e-01	0.012319
Polr2e	-3.80e-01	0.012321
Luc7l2	-3.80e-01	0.012321
	-4.03e-01	0.012322
Tshr	-3.70e-01	0.012327
Pdk2	-6.80e-01	0.012328
Ric8b	-3.73e-01	0.012328
Zfp229	-7.37e-01	0.012328
Rsrc2	-4.43e-01	0.012331
Fsbp///Rad54b	-4.07e-01	0.012333
Pts	-3.60e-01	0.012334
Pacs2	-6.47e-01	0.012352
Map3k9	-4.60e-01	0.012356
Megf11	-4.97e-01	0.012359
	-4.17e-01	0.012362
	-6.20e-01	0.012363
2310003H01Rik	-5.37e-01	0.012369
Sh3rf3	-3.90e-01	0.012373
Myb	-3.73e-01	0.012374
4933405D12Rik	-4.77e-01	0.012376
Gramd1a	-5.00e-01	0.012376
Brsk1	-4.80e-01	0.012376
Elavl1	-5.37e-01	0.012381
	-5.60e-01	0.012385
	-5.50e-01	0.012388
Slc10a7	-4.10e-01	0.012391
Qser1	-4.10e-01	0.012391
4930550G17Rik	-6.97e-01	0.012391
Nacc1	-3.60e-01	0.012398
Foxp1	-5.03e-01	0.012398
Scai	-8.53e-01	0.012401
Vmn1r41	-4.47e-01	0.012406
	-5.57e-01	0.012406
Kcnma1	-4.80e-01	0.01241
Clec2i	-4.57e-01	0.012411
Tns1	-8.90e-01	0.012416
Mnda///Ifi205	6.40e-01	0.012416
Narg2	-5.30e-01	0.012416
Prss16	-4.07e-01	0.012417
Dhx36	-6.73e-01	0.012417
Osr1	-6.70e-01	0.012417
Cep112	-4.43e-01	0.01242
Ttll1	-3.57e-01	0.01242
Gm16740	-3.93e-01	0.01242
Gm10451	-4.17e-01	0.012425
Lims1	-7.03e-01	0.012435
Apobr	-5.93e-01	0.012435
Gcnt2	-5.10e-01	0.012439
Ppp2r2d	-4.07e-01	0.012439
Dnajc19	-4.63e-01	0.012439
	-3.80e-01	0.012439
Klhdc2	-3.80e-01	0.012439
Ap3m2	-4.53e-01	0.012442
Zfp953///Zfp456///Rsl1///Zfp429	-5.37e-01	0.012444
	-4.73e-01	0.012444
St8sia6	-4.93e-01	0.012444
Rilpl2	-3.73e-01	0.012452
Atp2a2	-4.20e-01	0.012453
Lyz1	-3.50e-01	0.012458
4933428M09Rik	-4.47e-01	0.012458
Ska1	-4.30e-01	0.012462
Dpm3	-6.00e-01	0.012462
Dctn4	-3.73e-01	0.012465
Asxl2	-3.53e-01	0.012472
Saysd1	-4.03e-01	0.012475
Mrps21	-4.43e-01	0.012478
A030001D20Rik	-3.80e-01	0.012479
Whamm	-4.17e-01	0.012479
	-3.83e-01	0.012479
Slfn4///Slfn3	-3.63e-01	0.01248
Cbx5	-4.40e-01	0.012482
Sod1	-4.77e-01	0.01249
Stk35	-4.13e-01	0.012492
D16Ertd6e	-4.93e-01	0.012492
Hnrnpc	-3.63e-01	0.012495
Pramel7	-3.77e-01	0.012502
Zfp148	-4.37e-01	0.012508
Tmeff2	-4.07e-01	0.012508
Rhobtb3	-4.33e-01	0.012521
Tardbp	-5.00e-01	0.012521
	-4.20e-01	0.012521
Kcnq1ot1	-6.13e-01	0.012523
Dab2	-7.63e-01	0.012523
Caprin1	-3.63e-01	0.012527
Uhrf1	-5.17e-01	0.012527
Ski	-6.07e-01	0.012527
	-5.60e-01	0.012527
C130013H08Rik	-4.63e-01	0.012527
Cep97	-5.07e-01	0.012533
Zfp866	-3.47e-01	0.012534
Has2	7.93e-01	0.012536
Ntrk2	-4.93e-01	0.012538
Pla2g1b	-3.87e-01	0.012538
D4Ertd510e	-3.87e-01	0.012538
Enah	-5.10e-01	0.012538
Hspa1b	-4.07e-01	0.012538
Crat	-3.77e-01	0.012538
Cdc42ep4	-4.00e-01	0.01254
Igkv6-20	-4.63e-01	0.01254
	-4.63e-01	0.01254
Atp9b	-4.30e-01	0.01254
Mtmr1	-5.93e-01	0.01254
Ceacam12	-4.20e-01	0.012544
Atad2b	-3.50e-01	0.012544
Tbx3	-4.07e-01	0.012547
	-4.27e-01	0.012556
Pcnx	-7.40e-01	0.012557
Snx16	-5.63e-01	0.012557
	-6.37e-01	0.012557
1110059E24Rik	-4.97e-01	0.012557
Las1l	-4.37e-01	0.012559
Nfatc4	-4.03e-01	0.012561
Got2	-6.23e-01	0.012561
Gsg2	-4.50e-01	0.012561
Ubr2	-3.87e-01	0.012571
Fam114a1	-7.30e-01	0.012574
	-4.53e-01	0.012574
Htr4	-3.63e-01	0.012574
2310010J17Rik	-5.30e-01	0.012574
Hoxb5	-5.00e-01	0.012578
Pnmt	-4.37e-01	0.012578
D2Bwg1423e	-4.17e-01	0.01258
	-4.47e-01	0.012583
Cit	-3.93e-01	0.012583
4930449C09Rik	-4.60e-01	0.012587
Gmds	-5.17e-01	0.012587
Pxmp4	-3.50e-01	0.012587
Kdm5a	-4.50e-01	0.012587
Fabp3	-4.93e-01	0.012591
Bcl2	-5.40e-01	0.012591
Kdm5c	-4.03e-01	0.012591
4921509J17Rik	-4.00e-01	0.012591
Alpk1	-4.67e-01	0.012595
	-4.53e-01	0.012597
4931428L18Rik	-5.50e-01	0.012597
Nfic	-3.97e-01	0.012599
Zeb2	-9.63e-01	0.012603
Wasf3	-4.53e-01	0.012606
Ehd1	-4.43e-01	0.012611
Ccne1	-3.97e-01	0.012612
Akap10	-3.63e-01	0.012612
Cdc25c	-5.67e-01	0.012612
Igkv6-14///Igkv6-23///Igk-V28///Igkc	-4.23e-01	0.012612
Phf21a	-3.50e-01	0.012613
Rpn1	-3.47e-01	0.012613
6030458C11Rik	-3.73e-01	0.012613
Baz2a	-5.27e-01	0.012614
	-3.90e-01	0.012614
Setd1a	-5.43e-01	0.012616
Nptx2	-5.10e-01	0.012617
Rtn4	-5.60e-01	0.012617
Trps1	-7.10e-01	0.012617
Rab11fip4	-4.53e-01	0.012617
Mcm7	-4.17e-01	0.012626
	-3.67e-01	0.012627
Prr15l	-4.93e-01	0.012631
Apmap	-4.60e-01	0.012631
Ccdc102a	-4.63e-01	0.012633
Ap2m1	-4.50e-01	0.012635
	-3.90e-01	0.012636
Tmem56	-4.07e-01	0.012636
Mfhas1	-3.73e-01	0.012636
1700109G14Rik	-5.13e-01	0.012639
C80763	-3.97e-01	0.012639
	-4.43e-01	0.012639
C1qtnf1	-4.53e-01	0.012643
Hbp1	-4.73e-01	0.012644
Gm13187	-3.87e-01	0.012644
	-4.80e-01	0.012649
Plxnc1	-5.33e-01	0.012652
Cog1	-3.50e-01	0.012653
Itga5	-5.93e-01	0.012653
Scaf11	-3.80e-01	0.012654
Cep57l1	-8.30e-01	0.012655
	-4.43e-01	0.012657
Dag1	-4.13e-01	0.012657
	-6.23e-01	0.012663
Glrb	-4.63e-01	0.012663
Thsd7a	-3.87e-01	0.012667
Mff	-3.87e-01	0.012667
Klk1b3	-4.13e-01	0.012667
Ccdc32	-4.10e-01	0.012667
Triqk	-3.90e-01	0.012667
Ckm	-4.80e-01	0.012668
Naga	-5.03e-01	0.012668
Grik4	-3.73e-01	0.01267
Arl3	-4.30e-01	0.012672
Fam35a	-4.10e-01	0.012678
Cdk5rap2	-4.03e-01	0.012682
Nr3c2	-5.67e-01	0.012682
Kmt2d	-4.00e-01	0.012682
Nat8l	-4.00e-01	0.012682
Pten	-3.40e-01	0.012684
Kdm6b	-3.93e-01	0.012687
D5Ertd683e	-3.77e-01	0.012687
Rnf130	-6.67e-01	0.012697
Lrig1	-5.17e-01	0.012698
Hnrnpd	-7.20e-01	0.012705
Resp18	-3.60e-01	0.012706
Sc5d	-4.67e-01	0.012713
Runx2	-5.33e-01	0.012715
	-4.77e-01	0.012715
Pogk	-3.70e-01	0.012718
Fbxw2	-4.20e-01	0.012718
Mtus2	-5.10e-01	0.012718
Ube2l3	-4.00e-01	0.012719
Snrpc	-3.83e-01	0.012725
Ralgps2	-6.20e-01	0.012738
Skp1a	-5.07e-01	0.012739
	-9.37e-01	0.012739
6720422M22Rik	-4.93e-01	0.012742
Klhdc4	-5.13e-01	0.012744
Gm4871	-3.80e-01	0.012744
Polm	-5.37e-01	0.012751
Ppp2r3a	-5.97e-01	0.012751
Pja2	-4.87e-01	0.012752
Rangrf	-3.93e-01	0.012752
Ogt	-4.03e-01	0.012753
Slc16a1	-5.17e-01	0.012756
	3.77e-01	0.012756
Gm11237///Gm428	-4.07e-01	0.012756
Eltd1	-3.70e-01	0.012757
Lrrtm2	-3.70e-01	0.012757
	-4.30e-01	0.012766
Tmem52	-4.00e-01	0.012767
A530021J07Rik	-4.10e-01	0.012767
AU022186	-4.97e-01	0.012767
	-4.43e-01	0.012767
	-4.43e-01	0.012767
LOC100503057	-3.63e-01	0.012769
Bcl2l12	-6.20e-01	0.012778
Rab5b	-4.10e-01	0.012779
Aqp6	-4.17e-01	0.012779
Vapb	-6.77e-01	0.012779
Gadd45a	-4.20e-01	0.012779
C79490	-5.37e-01	0.012785
Prosc	-6.10e-01	0.012787
Apoc1	-3.87e-01	0.012791
Pou3f3	-3.57e-01	0.012795
Lamc1	-4.43e-01	0.012797
Vamp3	-1.42	0.012797
Otud5	-3.70e-01	0.012797
	-3.63e-01	0.012797
Tef	-4.30e-01	0.012804
Pdzd2	-6.80e-01	0.012804
Tstd3	-4.17e-01	0.012813
	-3.97e-01	0.012813
Surf4	-4.73e-01	0.012816
BC055324	-4.60e-01	0.012819
Cyth2	-4.77e-01	0.012822
Hes1	-4.80e-01	0.012824
	-4.00e-01	0.012825
	-5.27e-01	0.012828
Sbno1	-3.50e-01	0.012834
Ahcy	-3.93e-01	0.012835
	-3.77e-01	0.012835
Rbpj	-7.27e-01	0.012837
Enho	-3.97e-01	0.012837
Gm10774///Usp50///Polr2l	-4.40e-01	0.012837
Rttn	-3.57e-01	0.012838
Prlr	-4.73e-01	0.012838
Bscl2	-3.63e-01	0.012838
Ccne1	-3.63e-01	0.012838
	-5.60e-01	0.012841
Nrk	-3.90e-01	0.012851
Tfpt	-3.87e-01	0.012851
4930486A15Rik	-3.57e-01	0.012851
Spns3	-4.93e-01	0.012851
Slc31a1	-3.67e-01	0.012854
	4.53e-01	0.012854
Gm19569	-4.47e-01	0.012855
Unc45a	-4.63e-01	0.012858
A430005L14Rik	-4.90e-01	0.012858
Parp14	-6.73e-01	0.012859
Wdr33	-5.53e-01	0.012859
Luzp1	-4.67e-01	0.012859
B3gnt8	-4.73e-01	0.012859
Reep3	-6.30e-01	0.012861
Rabgap1	-3.93e-01	0.012864
Sox4	-3.97e-01	0.012865
	-3.73e-01	0.012865
1700042D18Rik	-3.83e-01	0.012871
Prokr1	-5.10e-01	0.012878
Mtch2	-3.97e-01	0.012878
Far1	-3.97e-01	0.012878
Gm16515	-3.90e-01	0.012883
Npc2	-5.87e-01	0.012883
Abca7	-3.87e-01	0.012884
Snhg5	-3.87e-01	0.012884
Utp23	-4.00e-01	0.012888
	-6.27e-01	0.01289
Arhgap29	-5.60e-01	0.01289
Celf1	-4.73e-01	0.012892
1520401O13Rik	-3.90e-01	0.012893
3830408C21Rik	-5.07e-01	0.012894
Ss18	-4.47e-01	0.012897
Ndufaf3	-3.97e-01	0.012901
Phf6	-4.77e-01	0.012904
Zfp687	-4.80e-01	0.012905
Megf8	-3.77e-01	0.012905
Pmm2	-4.37e-01	0.012906
	-5.67e-01	0.012906
	-4.73e-01	0.012906
Acbd4	-3.37e-01	0.01291
Sltm	-5.57e-01	0.012916
	-4.07e-01	0.012916
Hspb9	-3.90e-01	0.012916
Irf2bp1	-4.27e-01	0.012916
Apex2	-3.57e-01	0.012916
1500015O10Rik	-5.43e-01	0.012921
	-5.13e-01	0.012922
Mier1	-4.57e-01	0.012922
Gm5480	-4.77e-01	0.012925
Atp10b	-4.73e-01	0.012931
Crebzf	-3.57e-01	0.012931
	-4.33e-01	0.012931
Polb	-3.53e-01	0.012931
Mast1	-5.83e-01	0.012932
Sf3b5	-4.23e-01	0.012933
Smr2	-4.30e-01	0.012933
	3.90e-01	0.012955
Trim10	4.00e-01	0.012957
Ddi2	-3.73e-01	0.012957
Vmn2r1	-3.93e-01	0.012957
Deptor	-3.93e-01	0.012957
Sumo2	-3.93e-01	0.012957
A730034C02///Map2	-4.77e-01	0.012959
Rbm25	-6.00e-01	0.012967
C230085N15Rik	-5.67e-01	0.01298
AA986860	5.23e-01	0.01298
Gm11517	-5.07e-01	0.012985
Mdp1	-3.83e-01	0.012986
9530059O14Rik	-4.43e-01	0.012993
Dpp10	-4.00e-01	0.012995
Gpr19	-4.93e-01	0.012995
Hps3	-4.10e-01	0.012995
Clip4	-5.40e-01	0.012995
	-4.87e-01	0.012995
Ipo11	-5.13e-01	0.012997
Pias1	-6.30e-01	0.013004
Saa4	-3.63e-01	0.013005
4930543E12Rik	-3.63e-01	0.013005
Psenen	-3.57e-01	0.013009
Gm9866	-3.50e-01	0.013009
2900084O13Rik	-4.90e-01	0.01301
Exosc6	-4.63e-01	0.01301
Aftph	4.67e-01	0.013013
	-3.60e-01	0.013015
Crocc	-3.67e-01	0.013015
Arhgef17	-3.63e-01	0.013017
Akr1e1	-4.07e-01	0.013018
Lrrn1	-3.77e-01	0.013025
Fam198b	-7.40e-01	0.013025
Foxp4	-5.57e-01	0.013025
4921501E09Rik	-4.70e-01	0.013028
C330024D21Rik	-4.93e-01	0.01303
Nus1	-5.13e-01	0.01303
Crebbp	-4.23e-01	0.01303
1810026J23Rik	-6.53e-01	0.013034
3830403N18Rik	-4.00e-01	0.013037
Ptrh2	-5.43e-01	0.013043
Kcnip1	-3.60e-01	0.013043
D630045M09Rik	-3.63e-01	0.013044
Abi3	-3.63e-01	0.013044
Tmem138	-3.83e-01	0.013045
Draxin	-4.87e-01	0.013047
Zer1	-3.70e-01	0.013047
Akr1a1	-3.57e-01	0.013047
Pdia3	-3.57e-01	0.013047
Prdx2	-5.13e-01	0.013048
Sdhd	-4.03e-01	0.013048
9830166K06Rik	-5.33e-01	0.013048
Mapk1	-4.80e-01	0.013054
Ndufv1	-3.90e-01	0.013062
	-3.87e-01	0.013069
Ubxn7	-4.13e-01	0.013073
Fhdc1	-4.47e-01	0.013074
Rnps1	-6.20e-01	0.013081
Gm14757	-4.73e-01	0.013083
Sp2	-6.23e-01	0.013086
Trak2	-9.40e-01	0.013087
Dhrs7	-4.90e-01	0.013087
1700109K24Rik	-4.63e-01	0.013087
Panx3	-4.67e-01	0.013087
H2-Q10	-4.53e-01	0.013095
Fkbp3	-4.00e-01	0.013096
	-4.03e-01	0.013099
4933422A05Rik	-5.53e-01	0.0131
Wdr54	-4.20e-01	0.0131
Aqp6	-3.77e-01	0.013101
Gas2l2	3.47e-01	0.013108
Rhoc	-3.80e-01	0.013108
5033428C03Rik	-5.33e-01	0.013113
Tcrg-V4	-5.23e-01	0.013114
Slc35f6	-5.27e-01	0.013115
Rnf14	-4.13e-01	0.013117
Madd	-4.60e-01	0.013119
Arhgap31	-4.20e-01	0.013122
	-3.53e-01	0.01313
Gemin6	-3.60e-01	0.01313
4933400F21Rik	3.40e-01	0.01313
Calb1	-4.00e-01	0.013131
Gatad1	-3.83e-01	0.013136
Hnrnpa1	-3.50e-01	0.013148
Tmem168	-3.43e-01	0.013148
Atp5g2	-3.73e-01	0.013148
Cenpn	-4.50e-01	0.013148
4933424L07Rik	-4.80e-01	0.013148
	-3.97e-01	0.01315
Oma1	-4.47e-01	0.01315
Ccdc33	-3.93e-01	0.01315
Bpifb9b	-4.07e-01	0.01315
4930458K08Rik	-4.70e-01	0.01315
	-5.23e-01	0.01315
C030009O12Rik	-3.47e-01	0.01315
	3.77e-01	0.01315
Ifi30///Pik3r2	-4.23e-01	0.01315
Sdha	-3.87e-01	0.01315
Macrod2	-4.57e-01	0.01315
Slc25a31	-4.57e-01	0.01315
Dennd1a	-4.77e-01	0.01315
Cdc73	-3.37e-01	0.01315
Rps13-ps5///Rps13	-3.70e-01	0.01315
Snhg1	-3.83e-01	0.013152
Cd99l2	-6.43e-01	0.01316
Brd4	-3.90e-01	0.01317
Phlda3	-3.93e-01	0.01317
Kat2a	-5.10e-01	0.01317
Cdkl2	-5.47e-01	0.013171
Nol9	-6.53e-01	0.013173
Ccr9	-3.67e-01	0.013175
C77681	-5.23e-01	0.013175
Dact2	-5.47e-01	0.013176
Mettl15	-4.57e-01	0.013176
C230081A13Rik	-3.47e-01	0.013178
Mark4	-3.93e-01	0.013179
Fkbp1a	-6.57e-01	0.013182
Cldn12	-4.57e-01	0.013185
1700039M15Rik	3.77e-01	0.013186
Pank2	-5.00e-01	0.013188
Srgap2	-3.83e-01	0.01319
4930519A11Rik	-4.73e-01	0.013202
B430105A11Rik	-3.93e-01	0.013207
Tlr9	-4.20e-01	0.013214
	-7.33e-01	0.013215
Marcks	-4.80e-01	0.013215
Steap3	-7.63e-01	0.013215
	-3.77e-01	0.013215
	-3.67e-01	0.013216
Ubl4b	-4.17e-01	0.013216
Trio	-4.17e-01	0.013216
Map6	-4.27e-01	0.013219
Fmo4	-3.57e-01	0.013219
Elovl4	-5.40e-01	0.013222
2310035C23Rik	-4.77e-01	0.013224
Ppt1	-8.50e-01	0.013224
Sp110	4.47e-01	0.013225
Sec11a	-5.93e-01	0.013227
Mlycd	-4.93e-01	0.013227
Axdnd1	-4.30e-01	0.013232
Fxyd4	-5.30e-01	0.013232
8430437B07Rik	-4.23e-01	0.013243
Xpo7	-4.80e-01	0.013246
Pecam1	-3.70e-01	0.013247
Mob1a	-7.20e-01	0.013247
Ankrd29	-9.93e-01	0.013249
Slc22a12	-3.87e-01	0.013249
A530058O07Rik	-3.60e-01	0.01325
Ran	-4.10e-01	0.01325
	-4.33e-01	0.013253
	-3.97e-01	0.01326
Zfp654	-5.87e-01	0.013265
Wdr85	-3.83e-01	0.013269
Sfxn1	-5.17e-01	0.013271
Cela2a	-5.17e-01	0.013271
Cnot2	-3.47e-01	0.013271
	-3.47e-01	0.013271
Pik3r1	-7.33e-01	0.013271
Cmpk1	-7.10e-01	0.013271
Mtpn	-7.93e-01	0.013271
Gm9292///Gm4983///2410018L13Rik	-5.13e-01	0.013276
Mfsd10	-6.73e-01	0.013279
Vps9d1	-4.90e-01	0.013279
Pick1	-4.23e-01	0.013281
B230378P21Rik	-3.97e-01	0.013281
Odc1	-4.10e-01	0.013281
Cd109	-3.90e-01	0.013288
Golga3	-5.17e-01	0.013289
LOC624295	-5.60e-01	0.013289
AI414330	-3.60e-01	0.013292
Mnx1	-3.67e-01	0.013296
Snx12	-3.67e-01	0.013296
9430037G07Rik	-4.27e-01	0.013312
Bod1l	-6.23e-01	0.013314
Slc1a4	-3.90e-01	0.013314
	-4.63e-01	0.013314
Cfhr2	-4.07e-01	0.013314
D17Ertd191e	-4.07e-01	0.013314
Kcnv1	-4.70e-01	0.013314
Tmem143	6.07e-01	0.013318
Trpc3	-4.03e-01	0.013318
Bub1b	-4.60e-01	0.013321
Ikbkg	-4.07e-01	0.013325
2700080J24Rik	-4.13e-01	0.013326
Il6st	-4.93e-01	0.013326
Zbp1	-6.63e-01	0.013327
2700049A03Rik	-5.03e-01	0.013327
Zfp954	-3.77e-01	0.013327
	-4.80e-01	0.01333
Cd99l2	-6.03e-01	0.01333
Zfp398	-3.87e-01	0.013332
Naaa	-4.53e-01	0.013336
Zg16	-4.70e-01	0.013336
Ccl11	-4.27e-01	0.013336
Zbtb1	-3.93e-01	0.013346
C86695	-4.60e-01	0.013346
Mtpn	-8.07e-01	0.013346
Nfatc2	-4.10e-01	0.013346
	-3.67e-01	0.013349
Arhgap9	-3.70e-01	0.01335
Nedd9	5.87e-01	0.013358
Srsf10	-4.67e-01	0.01336
Tmem173	-5.67e-01	0.01336
	-4.97e-01	0.01336
Yes1	-4.00e-01	0.013364
Slc12a2	-5.40e-01	0.013364
2410006F04Rik	-5.27e-01	0.013365
Ercc1	-4.67e-01	0.013366
Rnf151	-4.27e-01	0.013366
Appbp2	-5.57e-01	0.013372
Shoc2	-3.73e-01	0.013372
1700120K04Rik	-3.73e-01	0.013372
3110007F17Rik	-3.47e-01	0.013373
Tmem144	-3.37e-01	0.013373
Creb3l1	-3.90e-01	0.013383
Gm9744	-6.27e-01	0.013383
Slc12a4	-3.97e-01	0.013383
	-5.10e-01	0.013383
	-3.43e-01	0.013383
Sphk1	-4.13e-01	0.013385
Dcaf5	-3.67e-01	0.013388
	-3.70e-01	0.013388
C80283	-4.23e-01	0.013388
Cox7c	-4.37e-01	0.013388
4932418E24Rik	-3.87e-01	0.013388
	-6.73e-01	0.013388
Klhl6	-4.20e-01	0.013388
Cdk12	3.97e-01	0.01339
1810015A16Rik	-4.60e-01	0.01339
Tstd2	-3.87e-01	0.013402
Ube2d3	-8.43e-01	0.013404
Prkci	-4.67e-01	0.013404
G6pc3	-4.07e-01	0.013404
1110035H17Rik	-4.07e-01	0.013404
	-4.07e-01	0.013404
Zfp617	-4.10e-01	0.013404
C87882	-4.10e-01	0.013404
D8Ertd124e	-3.83e-01	0.013406
Tmem82	-6.67e-01	0.013406
	-3.93e-01	0.013406
B230104F01Rik	-3.43e-01	0.013407
Sfpq	-7.00e-01	0.013414
	-4.10e-01	0.013414
Entpd1	-5.37e-01	0.013416
Rsf1	-3.90e-01	0.013423
Knstrn	-4.37e-01	0.013423
Penk	-5.93e-01	0.013435
AU021025	-4.67e-01	0.013439
Galr1	4.17e-01	0.013441
Aak1	-5.30e-01	0.013441
Gm3763///Gm3701///Gm2927///Gm2913///Gm2863///Gm2825///Gm2799///Gm10922///Gm14351///Gm14346///Gm14345///Gm14347///Gm14374///Gmcl1l	-5.30e-01	0.013441
Rexo4	-4.97e-01	0.013444
Rilpl1	-3.83e-01	0.013445
	-4.03e-01	0.013445
A930001A20Rik	-4.77e-01	0.013449
Gm5101	-4.10e-01	0.013449
Slc6a6	-4.10e-01	0.013449
Armcx3	-7.50e-01	0.01345
Nxt2	-4.27e-01	0.01345
Otub1	-3.43e-01	0.013457
Xkrx	-3.70e-01	0.013468
Tuba3b///Tuba3a	-4.80e-01	0.013469
Tnfrsf9	-5.07e-01	0.013472
Wdr20b	-4.07e-01	0.013474
Trove2	-4.33e-01	0.013485
C87436	-5.13e-01	0.013491
	-3.80e-01	0.013494
Fam78b	-4.70e-01	0.013494
Ttll10	-3.50e-01	0.013494
Sgcb	-1.62	0.013494
Gpr137b-ps///Gpr137b	-3.63e-01	0.013495
Zc3h12c	-4.80e-01	0.013495
D17892	3.53e-01	0.013502
Decr1	-3.73e-01	0.013505
Apc2	-4.60e-01	0.013511
	-4.67e-01	0.013511
Adat3///Scamp4	-4.97e-01	0.013519
Cluh	-3.57e-01	0.013523
Foxh1	-4.93e-01	0.013523
Ddx11	-3.37e-01	0.013523
S100a11	-3.70e-01	0.013527
1700031L13Rik	-4.17e-01	0.013534
Nkx6-3	-4.17e-01	0.013534
Zdhhc9	-3.40e-01	0.013538
Cyp2j5	-4.37e-01	0.013542
Ddb1	-3.90e-01	0.013544
2210018M11Rik	-4.33e-01	0.01355
Phf14	-4.87e-01	0.01355
Tcf12	-4.63e-01	0.013557
Hdgfrp2	-3.87e-01	0.013561
Dnajc5	-7.97e-01	0.013563
Rmdn2	-4.23e-01	0.013563
Mrps36	-3.43e-01	0.013563
	-3.80e-01	0.013563
A330008L17Rik	-4.67e-01	0.013567
Zfp58	-6.30e-01	0.013568
Trim21	1.11	0.013568
Pop7	-3.90e-01	0.013568
	-4.93e-01	0.01357
Rpl41	-4.87e-01	0.013573
Osm	-3.93e-01	0.013574
Prss32	-3.97e-01	0.013576
Igfbpl1	-4.93e-01	0.013577
C85395	-4.10e-01	0.013579
Tln1	-4.10e-01	0.013579
Bub1b	-4.77e-01	0.01358
Prickle1	-4.13e-01	0.013583
Mospd3	-3.67e-01	0.013583
Map2	-3.40e-01	0.013583
Fam3a	-3.40e-01	0.013583
	-3.50e-01	0.013586
Lama4	-3.60e-01	0.013589
Gas2	-3.60e-01	0.013589
Akap9	-4.07e-01	0.013589
Vps13d	4.03e-01	0.013602
Klf12	-4.87e-01	0.013603
Epb4.1l3	-3.90e-01	0.013603
Phip	-3.83e-01	0.013604
Keap1	-3.43e-01	0.013606
1700080O16Rik	-4.27e-01	0.013614
Rps6kb1	-4.07e-01	0.013614
Cnpy2	-4.07e-01	0.013614
2310003H01Rik	-5.00e-01	0.013615
Rpp14	-3.83e-01	0.013617
1700012D14Rik	-4.23e-01	0.013622
Ntrk2	-4.27e-01	0.013623
Coro6	-3.63e-01	0.013625
Olfr64	-4.37e-01	0.013627
	-4.63e-01	0.013631
Rmdn1	-4.53e-01	0.013636
Fgf3	-3.80e-01	0.013636
Rpl35	-3.47e-01	0.013636
Etv1	-5.23e-01	0.013636
Tmprss5	-5.40e-01	0.013636
Nrxn2	-5.40e-01	0.013636
Ppp3cb	-5.37e-01	0.013636
Pcdhb5	-6.33e-01	0.013636
4930577N17Rik	-4.00e-01	0.013638
Zfp2	-4.00e-01	0.013638
Rgs16	-4.83e-01	0.013645
Ceacam10	-3.50e-01	0.013645
LOC100503055///Gm10709///Gm6344///Rpl29	-4.23e-01	0.01365
C86345	-4.77e-01	0.01365
2310044G17Rik	-3.87e-01	0.013652
Impa2	-4.63e-01	0.013652
Zzz3	-4.37e-01	0.013652
Tlr3	-5.87e-01	0.013655
Herc4	-4.57e-01	0.01366
Cdh23	-5.10e-01	0.013661
Phf3	-5.80e-01	0.013669
